X	Y	FID	Facility_N	F_NAME	HMIS	Province	District	Division	LOCATION	Sub_Locati	Spatial_Re	Facility_T	Agency	Latitude	Longitude	GlobalID
40.795232	-2.057423	1	2	BARGONI HEALTH CENTRE	3606	COAST	LAMU	HINDI	HINDI MAGOGONI	BARGONI	DDP	3	MOH	-2.057423	40.795232	{DFBCC6ED-7E0E-4247-831A-195C023F93A9}
41.106066	-2.071384	2	3	FAZA HEALTH CENTRE	626	COAST	LAMU	FAZA	TCHUNDWA	TCHUNDWA	DDP	3	MOH	-2.071384	41.106066	{46B9BA32-BDFF-4E0C-A0C0-A549D2C65C81}
40.810619	-2.17357	3	4	HINDI MAGOGONI DISP	0	COAST	LAMU	HINDI	HINDI MAGOGONI	HINDI MAGOGONI	DANIDA	4	MOH	-2.17357	40.810619	{98DC5F1F-331C-4B1B-B978-CD619C44EFAF}
40.82	-2.18	4	5	HINDI PRISON DISP	615	COAST	LAMU	HINDI	HINDI MAGOGONI	HINDI MAGOGONI	ILRI VILLAGES	4	MOH	-2.18	40.82	{407E09F7-9F8C-41B5-8D22-FF102245C38E}
40.657674	-2.341627	5	6	HONGWE CATHOLIC HEALTH CENTRE	616	COAST	LAMU	MPEKETONI	HONGWE	HONGWE	SUBLOC CENTROID	3	MISS	-2.341627	40.657674	{C9C4B62A-5FEB-4606-AC9F-A9CF7081DA78}
41.123971	-2.080138	6	7	ICHUNDWA DISP	625	COAST	LAMU	KIZINGITINI	MBWAJUMWALI	MYABOGI	DDP	4	MOH	-2.080138	41.123971	{729C4A36-3229-4164-AEEB-07AAD2D4D7DF}
41.489472	-1.741314	7	8	KIUNGA HEALTH CENTRE	627	COAST	LAMU	KIUNGA	KIUNGA	RUBU/MWAMBORE	DDP	3	MOH	-1.741314	41.489472	{455009DB-C29F-4755-9662-235E49B4E289}
41.276085	-2.002129	8	9	KIWAYU DISP	618	COAST	LAMU	KIZINGITINI	NDAU	KIWAYUU	DDP	4	MOH	-2.002129	41.276085	{BDCFD88F-B82C-4098-9F2A-4E1EC4CC3118}
41.1464	-2.07302	9	10	KIZINGITINI DISP	617	COAST	LAMU	KIZINGITINI	MBWAJUMWALI	MYABOGI	DANIDA	4	MOH	-2.07302	41.1464	{7C5FEF7E-63FD-456D-8FBE-C95858788A0F}
40.716142	-2.368667	10	11	LAKE KENYATTA HEALTH CENTRE	2451	COAST	LAMU	MPEKETONI	MPEKETONI	KIONGWE	HD MAPS	3	MISS	-2.368667	40.716142	{FC731B3F-5961-4657-A43D-264285278E5F}
40.906769	-2.27857	11	12	LAMU DISTRICT HOSPITAL	631	COAST	LAMU	AMU	SHELLA MANDA	SHELLA(LAMU)	DANIDA	1	MOH	-2.27857	40.906769	{67269D20-EFA6-47AA-8972-EF719311B809}
41.181	-1.746	12	13	MANGAI DISP	2508	COAST	LAMU	KIUNGA	BASUBA	MANGAI	ILRI MKT CENTRES	4	MOH	-1.746	41.181	{515D3645-4E46-40C9-8404-1844D94653B8}
40.858402	-2.29451	13	14	MATONDONI DISP	619	COAST	LAMU	AMU	MATONDONI	KIPUNGANI	DISTRICT ESTIMATES	4	MOH	-2.29451	40.858402	{8F1F8108-0CE9-4C6D-9A66-37A5703402C1}
41.299752	-1.896091	14	15	MKOKONI DISP	3786	COAST	LAMU	KIUNGA	KIUNGA	MKOKONI	SUBLOC CENTROID	4	MOH	-1.896091	41.299752	{2BE2E3C3-4B4C-4C08-9E8B-22C20261895A}
40.6761	-2.29477	15	16	MKUNUBI DISP	620	COAST	LAMU	MPEKETONI	MKUNUMBI	MKUNUMBI	1:50000 MAPS	4	MOH	-2.29477	40.6761	{1B24789A-FDCF-4F7C-B19D-4D1F38D78B03}
40.7218	-2.42249	16	17	MLANGUMU DISP	0	COAST	LAMU	MPEKETONI	BAHARINI	BAHARI	1:50000 MAPS	4	MOH	-2.42249	40.7218	{06424D31-DF93-4441-9380-98CF74CEA3F8}
40.315276	-2.274546	17	18	MOA (WEMA) MISSION DISP	2450	COAST	LAMU	WITU	DIDE WARIDE	MOA	ILRI MKT CENTRES	4	MISS	-2.274546	40.315276	{5AE97713-60FA-4382-8D14-D5D94F5224FE}
